frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.983727,  1, 0.03991, 0.165839, 0, 0, 0, 0, 0, 0, 0, 0, 0.331198, 0, 0, 0, 0, 0.186699, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,  0.05,  0.983751,  1, 0.0357227, 0.0552796, 0, 0, 0, 0, 0, 0, 0, 0, 0.34051, 0.135394, 0, 0, 0, 0.0907762, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,  0.1,  0.983477,  1, 0.0372141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.280273, 0.208367, 0, 0, 0, 0.0946905, 0.000986471, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,  0.15,  0.982199,  1, 0.088867, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.118316, 0.141494, 0, 0, 0.128697, 0.147843, 0.023178, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,  0.2,  0.983115,  1, 0.153676, 0.0303524, 0, 0, 0, 0, 0, 0, 0, 0, 0.0915483, 0.0729725, 0, 0, 0.251886, 0.218804, 0.055752, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,  0.25,  0.983819,  1, 0.222197, 0.175864, 0, 0.126577, 0, 0, 0, 0, 0, 0.0968456, 0.0413854, 0.0299301, 0, 0, 0.367706, 0.205517, 0.0678059, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,  0.3,  0.983184,  1, 0.170544, 0.175864, 0, 0.126577, 0, 0, 0.0116591, 0, 0.0384805, 0.462533, 0.0413854, 0.0604858, 0.0553987, 0.0341312, 0.434797, 0.146794, 0.0456144, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,  0.35,  0.98203,  1, 0.0833156, 0.145511, 0, 0.126577, 0, 0, 0.029366, 0, 0.111657, 0.768027, 0, 0.141995, 0.0553987, 0.0489835, 0.531361, 0.0528594, 0.0243268, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
9,  0.4,  0.981006,  1, 0, 0, 0, 0, 0, 0, 0.0304645, 0, 0.179783, 1.00507, 0, 0.132218, 0.0785697, 0.0811843, 0.63152, 0, 0.0112865, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
10,  0.45,  0.98202,  1, 0, 0, 0, 0, 0, 0, 0.041866, 0, 0.209355, 0.946738, 0, 0.119566, 0.023171, 0.0470531, 0.674736, 0, 0.0170264, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
11,  0.5,  0.981488,  1, 0, 0, 0, 0.0247474, 0, 0, 0.0269208, 0, 0.201424, 0.979887, 0, 0.0588752, 0.0397501, 0.0745981, 0.657346, 0.0197549, 0.00573985, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
12,  0.55,  0.983627,  1, 0, 0, 0, 0.0247474, 0, 0, 0.0258223, 0, 0.187756, 0.95804, 0, 0.0387225, 0.0873253, 0.0768039, 0.687993, 0.0197549, 0.00573985, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
13,  0.6,  0.983094,  1, 0, 0, 0, 0, 0, 0, 0, 0, 0.163373, 0.936139, 0, 0, 0.212238, 0.10322, 0.739876, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0
