frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.985211,  1, 0, 0, 0, 0, 0.0673075, 1.04424, 0, 0, 0.0469112, 0.583345, 0, 0.489636, 0, 0.0521126, 0, 0.310544, 0.0735156, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.05,  0.985526,  1, 0, 0, 0, 0, 0.101689, 1.03916, 0.0140817, 0, 0.0558322, 0.505172, 0.0078016, 0.545702, 0, 0.0275466, 0, 0.18569, 0.114928, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
3,  0.1,  0.985898,  1, 0, 0, 0, 0, 0.0925789, 0.960723, 0.0140817, 0, 0.0401951, 0.45314, 0.0078016, 0.520762, 0, 0.026239, 0, 0.0821753, 0.140866, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
4,  0.15,  0.985313,  1, 0, 0, 0, 0, 0.0695785, 0.881496, 0, 0, 0.013307, 0.471912, 0.0078016, 0.490291, 0, 0.0160633, 0, 0.0552476, 0.134914, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.2,  0.985915,  1, 0, 0, 0, 0, 0.0796538, 0.803707, 0, 0, 0, 0.491636, 0, 0.467045, 0, 0.0296853, 0.00864861, 0, 0.105633, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.25,  0.985012,  1, 0, 0, 0, 0, 0.0884463, 0.827005, 0, 0, 0.0159745, 0.519626, 0, 0.430324, 0, 0.0164533, 0.00864861, 0.0120982, 0.0551894, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
7,  0.3,  0.985747,  1, 0, 0, 0, 0, 0.0834028, 0.791875, 0.00212471, 0, 0.0159745, 0.556225, 0, 0.430013, 0, 0.0164533, 0.00864861, 0.0277175, 0.0290388, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
8,  0.35,  0.985141,  1, 0, 0, 0, 0, 0.0892113, 0.846933, 0.00212471, 0, 0.0159745, 0.568014, 0, 0.46411, 0, 0.0028313, 0.0550255, 0.11739, 0.0059127, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
9,  0.4,  0.985302,  1, 0, 0, 0, 0, 0.108516, 0.940183, 0.00748017, 0, 0, 0.629357, 0, 0.518777, 0, 0.021818, 0.0973751, 0.111265, 0.0059127, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.45,  0.985428,  1, 0, 0, 0, 0, 0.137426, 0.975896, 0.00535546, 0, 0.0176851, 0.562891, 0, 0.462152, 0, 0.0498553, 0.141751, 0.159272, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
11,  0.5,  0.985328,  1, 0, 0, 0, 0, 0.161446, 1.04913, 0.0249989, 0, 0.0176851, 0.562881, 0, 0.363811, 0, 0.091262, 0.116024, 0.0695993, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
12,  0.55,  0.984719,  1, 0.0662189, 0, 0.0683883, 0, 0.215929, 1.13216, 0.0970485, 0, 0.0176851, 0.546065, 0, 0.324548, 0, 0.102155, 0.127693, 0.119849, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
13,  0.6,  0.984011,  1, 0.360043, 0, 0.347153, 0, 0.321067, 1.32682, 0.169228, 0, 0.0345259, 0.667763, 0, 0.30098, 0, 0.0741178, 0.127725, 0.125324, 0.0317564, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
14,  0.65,  0.984015,  1, 0.870841, 0, 0.715454, 0, 0.444737, 1.55008, 0.197286, 0, 0.105402, 0.75455, 0, 0.200193, 0, 0.0327111, 0.206492, 0.263311, 0.0600803, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
15,  0.7,  0.984969,  1, 1.55591, 0, 1.18957, 0, 0.598648, 1.7474, 0.134079, 0, 0.277555, 0.924171, 0.0120431, 0.0832368, 0.0411204, 0, 0.224605, 0.45136, 0.0872421, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
16,  0.75,  0.985415,  1, 2.14655, 0.0691619, 1.39249, 0, 0.699212, 1.98973, 0.0618995, 0, 0.497824, 1.15253, 0.0544345, 0.00291722, 0.220292, 0, 0.22559, 0.675402, 0.0554857, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
17,  0.8,  0.986127,  1, 2.56717, 0.0691619, 1.35071, 0, 0.803458, 1.92754, 0.0141979, 0.0226302, 0.800737, 1.39802, 0.253575, 0.0179086, 0.624431, 0, 0.25714, 0.552683, 0.0271619, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
18,  0.85,  0.985134,  1, 2.90651, 0.183894, 1.18399, 0.0158117, 0.850684, 1.90353, 0, 0.0226302, 1.08746, 1.56137, 0.528196, 0.0179086, 1.13982, 0, 0.545406, 0.308411, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0
19,  0.9,  0.983708,  1, 3.07547, 0.171167, 0.972727, 0.0619131, 0.876296, 1.6778, 0, 0.0484871, 1.37506, 1.57977, 0.839794, 0.0179086, 1.50487, 0, 0.961995, 0.0152687, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0
20,  0.95,  0.985246,  1, 3.24415, 0.209814, 0.774236, 0.147309, 0.937276, 1.75237, 0, 0.0445158, 1.61768, 1.52113, 1.04669, 0, 1.69818, 0, 1.39307, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0
21,  1,  0.981793,  1, 3.28642, 0.0973167, 0.514091, 0.137671, 1.05379, 1.72054, 0, 0.0572604, 1.85475, 1.41152, 1.22721, 0, 1.74244, 0, 1.54854, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0
22,  1.05,  0.979682,  1, 3.39869, 0.00670579, 0.34692, 0.0185215, 1.24067, 1.83209, 0, 0.0382338, 2.08783, 1.31485, 1.40154, 0, 1.80232, 0, 1.54761, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0
